"RESULTS
-68,KUMITE INDIVIDUAL MALE U21,3,MARTIN CODY,TEAM BRITISH COLUMBIA
-68,KUMITE INDIVIDUAL MALE U21,3,BOOTHE COULSON,TEAM BRITISH COLUMBIA
-68,KUMITE INDIVIDUAL MALE U21,5,GATES JASIAH,TEAM NEW BRUNSWICK
-68,KUMITE INDIVIDUAL MALE U21,5,KUGLER KEVIN,TEAM QUÉBEC
KUMITE INDIVIDUAL MALE U21 -78,,1,MONTAMBEAULT MAXIME,TEAM QUÉBEC
-78,KUMITE INDIVIDUAL MALE U21,2,SOUCY PASCAL,TEAM QUÉBEC
-78,KUMITE INDIVIDUAL MALE U21,3,MOROZOV ARTEM,TEAM ONTARIO
-78,KUMITE INDIVIDUAL MALE U21,3,BOUDREAU-DROUIN FELIX,TEAM QUÉBEC
-78,KUMITE INDIVIDUAL MALE U21,5,PARKER DAN,TEAM BRITISH COLUMBIA
-78,KUMITE INDIVIDUAL MALE U21,5,STEWART KYLE,TEAM ONTARIO
KUMITE TEAM FEMALE CADETS,,1,"QUEBEC(BOISVENUE, MICHAUD, RICHER, SOUCY)",TEAM QUÉBEC
,KUMITE TEAM FEMALE CADETS,2,"TEAM BC(ALVAREZ, CHAN, RATTEE, ROWLAND)",TEAM BRITISH COLUMBIA
,KUMITE TEAM FEMALE CADETS,3,"ALBERTA KUMITETEAM CADETS FEMALE(BLUNT, LAPUSHINSKAYA, STROHBACH)",TEAM ALBERTA
,KUMITE TEAM FEMALE CADETS,3,"ONTARIO(GUMIENNY, LARIBI, POKRASS, SMALL)",TEAM ONTARIO
,KUMITE TEAM FEMALE CADETS,5,"NOVA SCOTIA(CURRIE, DEVEAU)",TEAM NOVA SCOTIA
KUMITE TEAM FEMALE JUNIORS,,1,"QUEBEC(BECHARD, BOUDREAU-DROUIN, HACHE, PINSONNAULT)",TEAM QUÉBEC
,KUMITE TEAM FEMALE JUNIORS,2,"TEAM BC(BARUSIC, JENKINS, ONEAL, VIRK)",TEAM BRITISH COLUMBIA
,KUMITE TEAM FEMALE JUNIORS,3,"ONTARIO(BAGHERZADEH, BARTLEY, KRYSTANTOS, POPESCU)",TEAM ONTARIO
,KUMITE TEAM FEMALE JUNIORS,3,"ALBERTA KUMITETEAM JUNIORS FEMALE(LAMBERT, LECLERC, REMONDINI)",TEAM ALBERTA
KUMITE TEAM FEMALE SENIORS,,1,"QUEBEC(GARNEAU-MIGNOT, GUILLETTE, LEBLANC, L ECUYER LAFLEUR)",TEAM QUÉBEC
,KUMITE TEAM FEMALE SENIORS,2,"ONTARIO(BRATIC, GRANT, KHALILI, RESTREPO)",TEAM ONTARIO

KUMITE TEAM FEMALE SENIORS,3,"ALBERTA KUMITETEAM SENIORS FEMALE(GOLDSMITH, SCHAFER, SCHATZ,
SEKHON)",TEAM ALBERTA
KUMITE TEAM FEMALE SENIORS,3,"NOVA SCOTIA(HACHE, POWER, TURNER)",TEAM NOVA SCOTIA
KUMITE TEAM MALE CADETS,1,"QUEBEC(BORDELEAU, LANIEL, MARQUIS, RIVEST)",TEAM QUÉBEC
KUMITE TEAM MALE CADETS,2,"ONTARIO(KONDZIOLKA, KONNOV, SEMENIKHINE, TANTI)",TEAM ONTARIO
KUMITE TEAM MALE CADETS,3,"TEAM BC(ERICKSON, EVANS, NGUYEN, SANDHU)",TEAM BRITISH COLUMBIA
KUMITE TEAM MALE CADETS,3,"ALBERTA KUMITETEAM CADETS MALE(HOANG, NGUYEN, PAHL, SILVA)",TEAM ALBERTA
KUMITE TEAM MALE JUNIORS,1,"QUEBEC(BISSON, COTE, GARNEAU-MIGNOT, SOUCY)",TEAM QUÉBEC
KUMITE TEAM MALE JUNIORS,2,"TEAM BC(KALHOTY, LY, ROBINSON, SANTILLIAN)",TEAM BRITISH COLUMBIA
KUMITE TEAM MALE JUNIORS,3,"NOVA SCOTIA(DEVEAU, MCKENNEY, ONEIL, SMITH)",TEAM NOVA SCOTIA
KUMITE TEAM MALE JUNIORS,3,"ONTARIO(DAVID, GAYSINSKY, KHAN, PINHEIRO)",TEAM ONTARIO
KUMITE TEAM MALE SENIOR,1,"QUEBEC(ALEXANDRU, BARRETTE, BOILY-MARTINEAU, GUINDON, LAROSE, L
ECUYER LAFLEUR, SOUCY)",TEAM QUÉBEC
KUMITE TEAM MALE SENIOR,2,"ONTARIO(BARTLEY, BAZHENOV, BURKE, DE SOUSA COSTA, DIBAJI, IANCU,
SEQUEIRA)",TEAM ONTARIO
KUMITE TEAM MALE SENIOR,3,"MANITOBA(KRYSCHUK, MARR, SUNGALON, ZETTERSTROM)",TEAM MANITOBA
,,"Privacy statement | GTC | Imprint
SET Online by sportdata.org © sportdata GmbH & Co KG 2001 - 2019 (2019-12-03 21:13:37 CET +01:00)
WKF (World Karate Federation) APPROVED SOFTWARE",
